beer_ABV,beer_beerId,beer_brewerId,beer_name,beer_style,review_appearance,review_aroma,review_overall,review_palate,review_profileName,review_taste,review_text,review_time
5.4,63836,8481,John Harvards Simcoe IPA,India Pale Ale &#40;IPA&#41;,4/5,6/10,13/20,3/5,hopdog,6/10,"On tap at the Springfield, PA location. Poured a deep and cloudy orange (almost a copper) color with a small sized off white head. Aromas or oranges and all around citric. Tastes of oranges, light caramel and a very light grapefruit finish. I too would not believe the 80+ IBUs - I found this one to have a very light bitterness with a medium sweetness to it. Light lacing left on the glass.",1157587200
6.5,58511,3228,Barley Island Barfly IPA,India Pale Ale &#40;IPA&#41;,3/5,5/10,8/20,2/5,jake65,4/10,"Bottle:  Pours a murky caramel color with a modest, creamy beige head.  Smells strong of floral hops, but also wheaty.  Maybe even a bit soapy?  Taste is rather dry and abrasive.  Florals, again soapy, and some wheat.  Hot and brash.  Plain and simple, I just didnt like it.",1227744000
-,110497,3228,Barley Island Blonde Ambition,Golden Ale/Blond Ale,4/5,6/10,13/20,3/5,Dogbrick,7/10,"UPDATED: OCT 15, 2010 Sample at the Beer  Rock Band tasting on 08/27/2010: 2009 bottle. The beer is a clear golden color with a medium thin white head that dissipates quickly. Spotty lacing on the glass. Sweet biscuity malt and yeast aroma. Light body with flavors of yeast, bananas and malt. The finish is malt and yeast with a sweet aftertaste. A little above average overall.",1283126400
4.9,56572,3228,Barley Island Black Majic Java Stout,Stout,4/5,6/10,10/20,3/5,mocarmel,7/10,"This beer looked better than it tasted. To be fair, the Barley Island brews seem to be one dimensional. Seems to have too much bitter/hoppy flavor for a stout. Has the same base flavor as all Barley Isand brews so if you like the others, you will like this one.",1161561600
10,94962,3228,Barley Island Single White Friar Ale,Belgian Strong Ale,3/5,7/10,15/20,3/5,ChainGangGuy,8/10,"Appearance: Pours a hazy, chestnut brown body with no real head formation beyond a few stray bubbles.		Smell: Toasty, dark caramel maltiness with a constant undercurrent of rich fruitiness and sweet-smelling candi sugars. Light dash of cinnamon on top.		Taste: Toasted bread crusts crumpled into gooey caramel sweet. Hefty amount of candi sugar. Moderate sweetness. Lightly tart fruity plums and raisins spiced with, well, spices. No more than an extremely faint bitterness. Touch of alcohol.		Mouthfeel: Medium-plus body. Moderate carbonation.		Drinkability: A fairly pleasant sipper. Worth at least picked up a bottle. Whats the worst that could happen?",1231372800
4.5,100954,10325,Lucky Bucket Pre-Prohibition Lager,Premium Lager,4/5,4/10,11/20,4/5,mattyb83,6/10,"Clear golden color with a small white head.  Aroma is grains with some caramel.  I not really liking the aroma here.  Taste is bread, slight fruitiness, touch of a caramel.  Nice balance to the flavor here.  Pretty light bodied.  Better than I had expected.  Thanks atom!",1304812800
4.5,63796,7812,Alt Platz Jabo Hefeweizen,German Hefeweizen,3/5,6/10,12/20,3/5,gputty,6/10,"On tap at the brewery.  Pours a hazy orange with fluffy tan head.  Huge banana/clove nose with something really sweet, like Equal.  Flavor is crisp, light wheat.  Nice drinker.",1157241600
10,83309,9253,Siboire Hop n Cream,Imperial Stout,3/5,7/10,15/20,3/5,beerbuzzmontreal,7/10,"Pitch black pour with a thin light brown head. Very good aroma of roasted malt, expresso and molasses. Solid flavor of expresso, molasses and roasted malt. The body is medium with a liquorous texture and moderate carbonation. Very well-done. Merci beaucoup Jonathan!",1215388800
6.4,19539,2495,Erebuni,Strong Pale Lager/Imperial Pils,2/5,6/10,6/20,1/5,Finhead,3/10,"A pale gold pour with a thin, soapy-looking head.  The aroma has notes of straw, light grain, and a mild earthiness.  The light body is as thin as water with soft carbonation.  The taste is bland and flavorless.",1314576000
6.8,115134,577,Hirschbrauerei Ergenzingen Hirschle Bock,Heller Bock,3/5,6/10,13/20,3/5,pivnizub,7/10,"Bgelverschluflasche: Golden to deep golden, a bit hazy, lacy - medium-sized - white head; moderate to solid grainy-bready nose with some hops underneath; solid bitter-sweet flavour, medium bodied; increasing sweetness in the grainy-hoppy finish. Nothing to complain......",1261180800
5.9,16590,2367,Big River Grille House Brand IPA,India Pale Ale &#40;IPA&#41;,3/5,7/10,12/20,3/5,jzzbassman,6/10,"Draft at Downtown Chattanooga location		Very English, as contrasted to the place mat description. Clearly outshined by the 375 that followed, just a bit too safe in the bitterness.",1215302400
-,56059,2367,Big River Grille Black Cherry Porter,Porter,4/5,6/10,14/20,3/5,aracauna,7/10,"Pours a dark purple ruby with a good head, The aroma is mostly chocolate with some fruitiness that could be cherry. The flavor is light, slight chocolate, a bit of nuttiness, but the cherry is not strong. Theres a light bit of wood in the finish, but this isnt wood aged. Something about the palate and flavor seems cola-like to me, but its not excessively fizzy. Just light-bodied and clean finishing.",1140393600
5.6,12940,2367,Big River Grille Iron Horse Stout,Stout,4/5,7/10,16/20,4/5,Nuffield,8/10,"Very dark brown, 90-95% opacity, some red, rich coffee-cream head.  Very smooth, very dry, thorough roasted notes, dark, toasty, not burnt, little bitterness, light touch of vanilla.  Exceptionally easy drinking.  Not multi-layered for flavor but simple and enjoyable. (on tap, Rock Bottom Atlanta)",1136764800
5,74160,1970,Big River Grille Southern Flyer Light Lager,Zwickel/Keller/Landbier,4/5,6/10,15/20,3/5,pivnizub,7/10,"On tap at the brewpub: Deep golden coloured, quite stable creamy off-white head; rather hoppy-aromatic nose, backed by shy sweet-malt; solid dryish bitter flavour with a delicate sweetness detectable, light to medium-bodied; lingering dry bitter finish. A perfect franconian session beer..........",1181520000
4.5,62034,2978,Sokol Svetlo Pivo,Zwickel/Keller/Landbier,3/5,7/10,11/20,3/5,heavy,5/10,"01/08 0.5 l fliptop bottle at Sokol restaurant. Poured nice slightly murky golden body with medium sized head. Very nice, healthy hops aroma (herbal, lemon) and some honey malts. Promising, but flavor wasnt nearly so good. Bitter, hop dominated flavor (herbs, grass, spicy) but very thin bodied.  Dry, medium-long finish. Very pleasant, but so watery... Maybe this varies depending of the batch...",1217980800
4.8,31476,3489,Hebridean Islander,Premium Bitter/ESB,3/5,6/10,12/20,2/5,leaparsons,6/10,"Toffee coloured with an off-white head.  Aromas are biscuit malts with sweet grain and caramel.  Flavours are smooth toffee malts with some pine.  Quite sweet with some citrus notes.  Has a dry, hoppy finish.  Too much carbonation in the bottle.  A solid bitter.",1091923200
7,51,12,Mont des Cats,Abbey Dubbel,4/5,8/10,14/20,4/5,DownsouthGav,6/10,"Nose of raisins, bready and yeast, Mouthfeel is much lighter than the blue or white versions. Tatse is somewhat flatter and lacks the intensity of the other two. Dates and raisins on the tongue. Nice but not great.",1191974400
7,51,12,Mont des Cats,Abbey Dubbel,4/5,8/10,16/20,4/5,markas101,8/10,"341 ml bottle. Deep copper with a thin beige head. Aroma is spicy with yeast, malt and dark fruits. Taste is malty and sweet, but well balanced, spicy, coriander, some dark fruits and brown sugar.",1165363200
7,51,12,Mont des Cats,Abbey Dubbel,4/5,7/10,16/20,4/5,DerWeg,8/10,"An excellent softly spicy, malty dubbel with a hint of citric bitterness. A good Belgian anyone can enjoy.",1130371200
7,51,12,Mont des Cats,Abbey Dubbel,4/5,7/10,13/20,3/5,TheDean,6/10,Good beer.  Nowhere near as good as the Kid Rock concert I just got back from!  Damn that was good!  Best concert Ive seen in a while.,1088208000
7,51,12,Mont des Cats,Abbey Dubbel,3/5,7/10,17/20,4/5,beerslayer,8/10,"This is a great ale but not as good as the chimay blue or white. Nice balance of hops and malt.  Flavor is spicy, peppery and licorice.  Finish is clean crisp and lightly bittter.  Recommended",1044835200
7,51,12,Mont des Cats,Abbey Dubbel,4/5,8/10,17/20,4/5,trappist12,8/10,"Great beer overall. As it warms, it gives off an incredible array of aromas and tastes.",998697600
7,51,12,Mont des Cats,Abbey Dubbel,4/5,4/10,18/20,3/5,Kuzo,7/10,"Poured from a bottle conditioned since 2004.  Pours a dark, cloudy, opaque copper with a soapy off-white head.  Not much on the nose.  I was expecting a lot more.  Some fruityness and hints of raisin.  The taste is very balanced and very drinkable.  Hint of blueberry? and banana, some malt and yeast.  The alcohol is masked beautifully.  Mouth feel is very carbonated and light.  Perhaps it was the conditioning, but this is not the Chimay Red I remember.  That is not a negative comment.  Its just different than the other Chimay Reds ive drank.    If I didnt know it was 7%, i could easily mistake this for a great tasting session beer.",1255392000
7,51,12,Mont des Cats,Abbey Dubbel,3/5,6/10,15/20,5/5,JoePeesie,7/10,"pours a copper brownish red with a nice off white head that laces nicely. the nose is of sweet summer fruit, plums, apricot, light malts and grains. A very balanced beer that is a good option to bring to dinner at a non craft fans house.",1315785600
9,53,12,Mont des Cats,Belgian Strong Ale,4/5,7/10,16/20,4/5,17thfloor,8/10,"UPDATED: DEC 9, 2008 11.2 oz bottle Pours a darker brownish red with a medium sudsy creamy beige head that settles into something silky.  Aroma is faint, some nutty spice, dark fruit, sweet toffee malt.  Sweet dark fruit, slightly burnt malts, yeasty, a good amount of alcohol, light nuttiness, some bitterness as well.   Much richer fuller flavor than the rouge but still not unbelievable like I remember it.   The palate is also much better than the rouge, while still a little light, its airy, silky, but still has a nice consistency. 	7 4 8 4 15 		Grand Reserva Magnum 	wow... so much better and as complex as I remember it being years ago...	8 4 8 4 16",1216080000
9,53,12,Mont des Cats,Belgian Strong Ale,4/5,7/10,14/20,4/5,pericles35,8/10,"My least favorite of the three Chimays.  However, its stronger flavor but delicate makes this trappist nothing to sneeze at.  I will take it any day.",1196985600
9,53,12,Mont des Cats,Belgian Strong Ale,4/5,9/10,18/20,4/5,engelschalk,10/10,"One of my all time favourites. Colour of this beer is dark earthy brown with a thick head. Aromas of alcohol, bread, caramel.  The taste is little bit alcohol taste, sweet Mild bitterness on the finish.",1308787200
9,53,12,Mont des Cats,Belgian Strong Ale,5/5,9/10,19/20,5/5,Jerre,9/10,"UPDATED: JAN 10, 2008 Bottle, 33 cl. (also tasted from 75 cl and magnumbottle 1,5 l.)	This must be heaven ! Color, aroma, taste, were excellent. An incredible beer I would highly recommend.	But personally i take the Chimay White before the blue.",1156118400
9,53,12,Mont des Cats,Belgian Strong Ale,4/5,6/10,16/20,5/5,ghawener,8/10,"Bottle: Cloudy brown orange, pours a heavy head that quickly fades. Burnt coffee in the taste, smoky creamy; finish is sweet.",1130112000
9,53,12,Mont des Cats,Belgian Strong Ale,3/5,6/10,16/20,3/5,yayforbeer,6/10,"33cl bottle. Murky orange brown with a small tan head.  Not much aroma, a little malt, a little hop, and little else.  There is no mistaking the alcohol in this one.  Quite yeasty, though there was almost no sediment, and very little suspended in the brew.  The alcohol and yeast overpowered the subtle flavors buried deep within.  Tastes a bit green, maybe a little age would develop this into a brew worthy of its high rating.  I am a fan of Belgian Strong Ales, but this one didnt do it for me.",1099267200
9,53,12,Mont des Cats,Belgian Strong Ale,4/5,8/10,16/20,4/5,Nate,8/10,"2003. Sweet & malty in aroma. Some hoppy sourness and floral tones. Dark cloudy root beer brown with off-white foamy lacing head. Body is medium watery with vibrant carbonation. Deep, rich malty taste. Carbonic bite. Alcohol, plum, chalky yeast with dry finish and light bitter nutty after. A slight weizenbock character to it.",1063843200
9,53,12,Mont des Cats,Belgian Strong Ale,4/5,7/10,15/20,4/5,Pjones6738,7/10,"Found this in a chain restaurant near San Diego. Totally unexpected, but it sure made me happy. Slightly dissapointed by the beer though. Lots of head on the pour. Very fruity, more so as it warmed. Good, but nothing special. If I lived in Belgium, Id probably drink it regularly, but I can get beers just as good for a fraction of the cost.",1031529600
